stationid,neighborhood,borough,zipcode,station_name,latitude,longitude,count
318,Manhattan Community Board 5,Manhattan,10017,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,237
328,Manhattan Community Board 1,Manhattan,10005,Watts St & Greenwich St,40.72405549,-74.00965965,214
291,Lower East Side,Manhattan,10002,Madison St & Montgomery St,40.713126,-73.984844,54
330,Manhattan Community Board 1,Manhattan,10013,Reade St & Broadway,40.71450451,-74.00562789,103
303,Manhattan Community Board 2,Manhattan,10012,Mercer St & Spring St,40.72362738,-73.99949601,169
250,Manhattan Community Board 2,Manhattan,10012,Lafayette St & Jersey St,40.72456089,-73.99565293,110
525,Hudson Yards,Manhattan,10199,W 34 St & 11 Ave,40.75594159,-74.0021163,91
320,Manhattan Community Board 1,Manhattan,10013,Church St & Leonard St,40.71743998,-74.00583475,117
469,Manhattan Community Board 5,Manhattan,10019,Broadway & W 53 St,40.76344058,-73.98268129,207
484,Manhattan Community Board 5,Manhattan,10036,W 44 St & 5 Ave,40.75500254,-73.98014437,116
473,Manhattan Community Board 3,Manhattan,10002,Rivington St & Chrystie St,40.72110063,-73.9919254,128
466,Flatiron District,Manhattan,10001,W 25 St & 6 Ave,40.74395411,-73.99144871,255
529,Manhattan Community Board 4,Manhattan,10036,W 42 St & 8 Ave,40.7575699,-73.99098507,196
489,Manhattan Community Board 4,Manhattan,10019,10 Ave & W 28 St,40.75066386,-74.00176802,150
486,Midtown South,Manhattan,10019,Broadway & W 29 St,40.7462009,-73.98855723,193
143,,Brooklyn,11231,Clinton St & Joralemon St,40.69239502,-73.99337909,56
462,Manhattan Community Board 4,Manhattan,10011,W 22 St & 10 Ave,40.74691959,-74.00451887,316
365,Prospect Heights,Brooklyn,11207,Fulton St & Grand Ave,40.68223166,-73.9614583,36
502,Manhattan Community Board 3,Manhattan,10002,Henry St & Grand St,40.714215,-73.981346,108
294,Washington Square Village,Manhattan,10011,Washington Square E,40.73049393,-73.9957214,255
312,Manhattan Community Board 3,Manhattan,10002,Allen St & E Houston St,40.722055,-73.989111,210
526,Manhattan Community Board 5,Manhattan,10016,E 33 St & 5 Ave,40.74765947,-73.98490707,122
251,Manhattan Community Board 2,Manhattan,10012,Mott St & Prince St,40.72317958,-73.99480012,263
450,Clinton,Manhattan,10019,W 49 St & 8 Ave,40.76227205,-73.98788205,222
404,Manhattan Community Board 2,Manhattan,10014,9 Ave & W 14 St,40.7405826,-74.00550867,288
2006,,Manhattan,10105,Central Park S & 6 Ave,40.76590936,-73.97634151,264
253,Manhattan Community Board 2,Manhattan,10011,W 13 St & 5 Ave,40.73543934,-73.99453948,186
438,Manhattan Community Board 3,Manhattan,10003,St Marks Pl & 1 Ave,40.72779126,-73.98564945,171
401,Manhattan Community Board 3,Manhattan,10002,Allen St & Rivington St,40.72019576,-73.98997825,257
468,Manhattan Community Board 5,Manhattan,10019,Broadway & W 55 St,40.7652654,-73.98192338,149
385,Manhattan Community Board 6,Manhattan,10022,E 55 St & 2 Ave,40.75797322,-73.96603308,91
463,Manhattan Community Board 4,Manhattan,10019,9 Ave & W 16 St,40.74206539,-74.00443172,253
2002,,Brooklyn,11211,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,110
528,Manhattan Community Board 6,Manhattan,10016,2 Ave & E 31 St,40.74290902,-73.97706058,262
487,Manhattan Community Board 6,Manhattan,10010,E 20 St & FDR Drive,40.73314259,-73.97573881,154
448,Manhattan Community Board 4,Manhattan,10018,W 37 St & 10 Ave,40.75660359,-73.9979009,188
396,,Brooklyn,11216,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,57
347,Manhattan Community Board 2,Manhattan,10014,W Houston St & Hudson St,40.72873888,-74.00748842,284
540,Kips Bay,Manhattan,10035,Lexington Ave & E 26 St,40.74147286,-73.98320928,261
127,University Village,Manhattan,10014,Barrow St & Hudson St,40.73172428,-74.00674436,295
116,Manhattan Community Board 4,Manhattan,10011,W 17 St & 8 Ave,40.74177603,-74.00149746,290
254,Washington Square Village,Manhattan,10014,W 11 St & 6 Ave,40.73532427,-73.99800419,177
153,Manhattan Community Board 5,Manhattan,10016,E 40 St & 5 Ave,40.752062307,-73.9816324043,169
532,,Brooklyn,11249,S 5 Pl & S 4 St,40.710451,-73.960876,128
516,Manhattan Community Board 6,Manhattan,,E 47 St & 1 Ave,40.75206862,-73.96784384,38
337,Financial District,Manhattan,10005,Old Slip & Front St,40.7037992,-74.00838676,80
475,Manhattan Community Board 6,Manhattan,10003,E 16 St & Irving Pl,40.73524276,-73.98758561,219
285,Manhattan Community Board 2,Manhattan,10003,Broadway & E 14 St,40.73454567,-73.99074142,354
376,Manhattan Community Board 1,Manhattan,10038,John St & William St,40.70862144,-74.00722156,133
339,East Village,Manhattan,10009,Avenue D & E 12 St,40.72580614,-73.97422494,34
309,Manhattan Community Board 1,Manhattan,10007,Murray St & West St,40.7149787,-74.013012,151
411,East Village,Manhattan,10009,E 6 St & Avenue D,40.72228087,-73.97668709,70
2009,Manhattan Community Board 3,Manhattan,10038,Catherine St & Monroe St,40.71117444,-73.99682619,60
160,Manhattan Community Board 6,Manhattan,10016,E 37 St & Lexington Ave,40.748238,-73.978311,108
327,Manhattan Community Board 1,Manhattan,10285,Vesey Pl & River Terrace,40.7153379,-74.01658354,297
304,Financial District,Manhattan,10275,Broadway & Battery Pl,40.70463334,-74.01361706,168
173,Clinton,Manhattan,10019,Broadway & W 49 St,40.76064679,-73.98442659,210
352,Manhattan Community Board 5,Manhattan,10019,W 56 St & 6 Ave,40.76340613,-73.97722479,208
490,Chelsea District,Manhattan,10001,8 Ave & W 33 St,40.751551,-73.993934,247
232,,Brooklyn,11201,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,44
224,Manhattan Community Board 1,Manhattan,10038,Spruce St & Nassau St,40.71146364,-74.00552427,113
2003,Manhattan Community Board 6,Manhattan,10010,1 Ave & E 18 St,40.73416059,-73.98024289,154
355,Manhattan Community Board 3,Manhattan,10013,Bayard St & Baxter St,40.71602118,-73.99974372,129
363,Manhattan Community Board 1,Manhattan,10280,West Thames St,40.70834698,-74.01713445,221
354,Clinton Hill,Brooklyn,11205,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,44
157,,Brooklyn,11231,Henry St & Atlantic Ave,40.69089272,-73.99612349,109
416,,Brooklyn,11238,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,40
341,Lower East Side,Manhattan,10002,Stanton St & Mangin St,40.71782143,-73.97628939,80
520,Manhattan Community Board 5,Manhattan,10019,W 52 St & 5 Ave,40.75992262,-73.97648516,131
362,Garment District,Manhattan,,Broadway & W 37 St,40.75172632,-73.98753523,86
3002,Manhattan Community Board 1,Manhattan,10281,South End Ave & Liberty St,40.711512,-74.015756,248
311,Manhattan Community Board 3,Manhattan,10002,Norfolk St & Broome St,40.7172274,-73.98802084,111
351,Manhattan Community Board 1,Manhattan,10045,Front St & Maiden Ln,40.70530954,-74.00612572,109
478,Clinton,Manhattan,10018,11 Ave & W 41 St,40.76030096,-73.99884222,168
239,,Brooklyn,11201,Willoughby St & Fleet St,40.69196566,-73.9813018,44
428,Manhattan Community Board 3,Manhattan,10009,E 3 St & 1 Ave,40.72467721,-73.98783413,154
348,Manhattan Community Board 2,Manhattan,10012,W Broadway & Spring St,40.72490985,-74.00154702,268
461,Manhattan Community Board 6,Manhattan,10009,E 20 St & 2 Ave,40.73587678,-73.98205027,207
174,Manhattan Community Board 6,Manhattan,10010,E 25 St & 1 Ave,40.7381765,-73.97738662,123
360,Manhattan Community Board 1,Manhattan,,William St & Pine St,40.70717936,-74.00887308,123
340,Manhattan Community Board 3,Manhattan,10002,Madison St & Clinton St,40.71269042,-73.98776323,80
458,Chelsea District,Manhattan,10001,11 Ave & W 27 St,40.751396,-74.005226,135
537,Manhattan Community Board 6,Manhattan,10035,Lexington Ave & E 24 St,40.74025878,-73.98409214,270
265,Manhattan Community Board 3,Manhattan,10002,Stanton St & Chrystie St,40.72229346,-73.99147535,167
445,Alphabet City,Manhattan,10009,E 10 St & Avenue A,40.72740794,-73.98142006,196
511,Alphabet City,Manhattan,10009,E 14 St & Avenue B,40.72938685,-73.97772429,149
2004,Manhattan Community Board 2,Manhattan,10005,6 Ave & Broome St,40.724399,-74.004704,67
305,Manhattan Community Board 6,Manhattan,10022,E 58 St & 3 Ave,40.76095756,-73.96724467,198
442,Chelsea,Manhattan,10001,W 27 St & 7 Ave,40.746647,-73.993915,253
508,Clinton,Manhattan,10036,W 46 St & 11 Ave,40.76341379,-73.99667444,116
406,,Brooklyn,11201,Hicks St & Montague St,40.69512845,-73.99595065,80
358,Manhattan Community Board 2,Manhattan,10014,Christopher St & Greenwich St,40.73291553,-74.00711384,295
410,Manhattan Community Board 3,Manhattan,10002,Suffolk St & Stanton St,40.72066442,-73.98517977,209
504,Manhattan Community Board 6,Manhattan,10009,1 Ave & E 15 St,40.73221853,-73.98165557,253
336,Washington Square Village,Manhattan,10011,Sullivan St & Washington Sq,40.73047747,-73.99906065,241
394,Alphabet City,Manhattan,10009,E 9 St & Avenue C,40.72521311,-73.97768752,164
302,East Village,Manhattan,10009,Avenue D & E 3 St,40.72082834,-73.97793172,63
505,Chelsea District,Manhattan,10120,6 Ave & W 33 St,40.74901271,-73.98848395,224
455,Manhattan Community Board 6,Manhattan,10158,1 Ave & E 44 St,40.75001986,-73.96905301,68
439,Manhattan Community Board 3,Manhattan,10009,E 4 St & 2 Ave,40.7262807,-73.98978041,262
523,Manhattan Community Board 5,Manhattan,10018,W 38 St & 8 Ave,40.75466591,-73.99138152,201
150,Alphabet City,Manhattan,10009,E 2 St & Avenue C,40.7208736,-73.98085795,102
72,Clinton,Manhattan,10019,W 52 St & 11 Ave,40.76727216,-73.99392888,147
367,Manhattan Community Board 6,Manhattan,10022,E 53 St & Lexington Ave,40.75828065,-73.97069431,153
364,Clinton Hill,Brooklyn,11221,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,36
264,Manhattan Community Board 1,Manhattan,10038,Maiden Ln & Pearl St,40.70706456,-74.00731853,137
485,Manhattan Community Board 5,Manhattan,10018,W 37 St & 5 Ave,40.75038009,-73.98338988,156
471,,Brooklyn,11211,Grand St & Havemeyer St,40.71286844,-73.95698119,67
464,Manhattan Community Board 6,Manhattan,10022,E 56 St & 3 Ave,40.75934501,-73.96759673,141
271,,Brooklyn,11215,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,108
361,Manhattan Community Board 3,Manhattan,10002,Allen St & Hester St,40.71605866,-73.99190759,148
300,Manhattan Community Board 3,Manhattan,10003,Shevchenko Pl & E 6 St,40.728145,-73.990214,113
310,,Brooklyn,11208,State St & Smith St,40.68926942,-73.98912867,129
244,Clinton Hill,Brooklyn,11205,Willoughby Ave & Hall St,40.69196035,-73.96536851,35
415,Financial District,Manhattan,10038,Pearl St & Hanover Square,40.7047177,-74.00926027,132
417,Manhattan Community Board 1,Manhattan,10007,Barclay St & Church St,40.71291224,-74.01020234,252
534,Financial District,Manhattan,10004,Water - Whitehall Plaza,40.70255065,-74.0127234,74
400,Lower East Side,Manhattan,10009,Pitt St & Stanton St,40.71926081,-73.98178024,35
164,Manhattan Community Board 6,Manhattan,10017,E 47 St & 2 Ave,40.75323098,-73.97032517,126
225,Meatpacking District,Manhattan,10014,W 14 St & The High Line,40.74195138,-74.00803013,165
