stationid,neighborhood,borough,zipcode,station_name,latitude,longitude,count
455,Manhattan Community Board 6,Manhattan,10158,1 Ave & E 44 St,40.75001986,-73.96905301,75
536,Manhattan Community Board 6,Manhattan,10016,1 Ave & E 30 St,40.74144387,-73.97536082,143
459,Manhattan Community Board 4,Manhattan,10011,W 20 St & 11 Ave,40.746745,-74.007756,536
480,Clinton,Manhattan,10019,W 53 St & 10 Ave,40.76669671,-73.99061728,122
454,Manhattan Community Board 6,Manhattan,10022,E 51 St & 1 Ave,40.75455731,-73.96592976,101
540,Kips Bay,Manhattan,10035,Lexington Ave & E 26 St,40.74147286,-73.98320928,254
453,Manhattan Community Board 4,Manhattan,10011,W 22 St & 8 Ave,40.74475148,-73.99915362,217
405,Manhattan Community Board 2,Manhattan,10014,Washington St & Gansevoort St,40.739323,-74.008119,213
362,Garment District,Manhattan,,Broadway & W 37 St,40.75172632,-73.98753523,117
267,Garment District,Manhattan,,Broadway & W 36 St,40.75097711,-73.98765428,113
305,Manhattan Community Board 6,Manhattan,10022,E 58 St & 3 Ave,40.76095756,-73.96724467,195
538,Manhattan Community Board 5,Manhattan,10020,W 49 St & 5 Ave,40.75795248,-73.97787642,103
433,Alphabet City,Manhattan,10009,E 13 St & Avenue A,40.72955361,-73.98057249,217
296,Manhattan Community Board 3,Manhattan,10002,Division St & Bowery,40.71413089,-73.9970468,116
376,Manhattan Community Board 1,Manhattan,10038,John St & William St,40.70862144,-74.00722156,112
212,Manhattan Community Board 4,Manhattan,10011,W 16 St & The High Line,40.74334935,-74.00681753,169
470,Manhattan Community Board 4,Manhattan,10011,W 20 St & 8 Ave,40.74345335,-74.00004031,195
493,Manhattan Community Board 5,Manhattan,10036,W 45 St & 6 Ave,40.7568001,-73.98291153,151
281,Manhattan Community Board 5,Manhattan,10153,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,259
352,Manhattan Community Board 5,Manhattan,10019,W 56 St & 6 Ave,40.76340613,-73.97722479,213
509,Manhattan Community Board 4,Manhattan,10019,9 Ave & W 22 St,40.7454973,-74.00197139,228
248,Manhattan Community Board 1,Manhattan,10013,Laight St & Hudson St,40.72185379,-74.00771779,41
474,Manhattan Community Board 5,Manhattan,10035,5 Ave & E 29 St,40.7451677,-73.98683077,200
353,,Brooklyn,11217,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,36
499,Manhattan Community Board 7,Manhattan,10463,Broadway & W 60 St,40.76915505,-73.98191841,360
340,Manhattan Community Board 3,Manhattan,10002,Madison St & Clinton St,40.71269042,-73.98776323,58
440,Manhattan Community Board 6,Manhattan,10017,E 45 St & 3 Ave,40.75255434,-73.97282625,124
439,Manhattan Community Board 3,Manhattan,10009,E 4 St & 2 Ave,40.7262807,-73.98978041,233
250,Manhattan Community Board 2,Manhattan,10012,Lafayette St & Jersey St,40.72456089,-73.99565293,104
359,Manhattan Community Board 5,Manhattan,10172,E 47 St & Park Ave,40.75510267,-73.97498696,156
