,start_hour,age,trip_minutes,clusters
875,15,37.0,32,0
876,12,53.0,12,3
877,17,48.0,7,3
878,17,25.0,5,1
879,16,36.0,30,0
880,11,41.0,22,0
881,17,24.0,12,1
882,19,41.0,22,0
883,16,51.0,15,3
884,18,41.0,7,1
885,10,54.0,16,3
886,16,59.0,25,3
887,6,30.0,8,2
888,15,58.0,30,0
889,6,32.0,15,2
890,18,63.0,7,3
891,11,38.0,6,2
892,16,36.0,39,0
893,17,32.0,5,1
894,10,35.0,27,0
895,12,41.0,28,0
896,17,36.0,15,1
897,14,35.0,17,1
898,15,36.0,10,1
899,1,40.0,34,0
900,11,36.0,44,0
901,20,46.0,27,0
902,12,36.0,22,0
903,14,41.0,6,1
904,16,32.0,7,1
905,15,36.0,7,1
906,8,21.0,11,2
907,20,61.0,7,3
908,20,36.0,4,1
909,13,30.0,7,2
910,20,27.0,10,1
911,11,24.0,4,2
912,18,57.0,22,3
913,18,57.0,7,3
914,19,33.0,5,1
915,13,39.0,4,2
916,22,28.0,6,1
917,14,26.0,6,1
918,14,36.0,27,0
919,12,36.0,10,2
920,7,31.0,4,2
921,14,55.0,8,3
922,18,52.0,11,3
923,17,32.0,6,1
924,18,33.0,9,1
925,8,33.0,6,2
926,12,47.0,6,3
927,19,47.0,10,3
928,14,57.0,2,3
929,18,39.0,4,1
930,16,23.0,22,0
931,21,40.0,6,1
932,20,35.0,4,1
933,14,20.0,4,1
934,20,44.0,5,1
935,18,36.0,24,0
936,15,36.0,22,0
937,18,26.0,6,1
938,23,37.0,8,1
939,20,43.0,5,1
940,14,44.0,9,3
941,10,40.0,7,2
942,19,28.0,6,1
943,13,45.0,3,3
944,0,36.0,42,0
945,13,35.0,40,0
946,6,41.0,1,2
947,11,34.0,14,2
948,17,41.0,18,1
949,15,52.0,6,3
950,23,39.0,7,1
951,16,41.0,4,1
952,8,33.0,7,2
953,11,46.0,8,3
954,17,48.0,11,3
955,13,57.0,4,3
956,12,55.0,15,3
957,14,31.0,7,1
958,14,32.0,34,0
959,12,28.0,2,2
960,19,36.0,9,1
961,14,47.0,4,3
962,8,37.0,11,2
963,18,36.0,15,1
964,20,57.0,9,3
965,10,54.0,28,0
966,17,60.0,3,3
967,17,36.0,28,0
968,12,29.0,32,0
969,17,51.0,7,3
970,19,35.0,12,1
971,16,36.0,15,1
972,18,61.0,8,3
973,8,41.0,8,2
974,18,26.0,17,1
975,0,36.0,25,2
976,19,34.0,7,1
977,12,33.0,7,2
978,9,60.0,8,3
979,19,45.0,44,0
980,14,23.0,4,1
981,16,35.0,15,1
982,15,27.0,15,1
983,12,32.0,29,0
984,23,36.0,11,1
985,23,36.0,4,1
986,14,36.0,20,0
987,19,55.0,5,3
988,16,47.0,6,3
989,18,25.0,19,1
990,17,36.0,30,0
991,6,48.0,17,2
992,18,36.0,8,1
993,18,40.0,24,0
994,16,39.0,13,1
995,14,38.0,10,1
996,8,24.0,7,2
997,14,49.0,9,3
998,17,51.0,32,0
999,17,36.0,18,1
1000,18,31.0,37,0
1001,8,27.0,7,2
1002,15,36.0,44,0
1003,9,44.0,4,2
1004,18,25.0,37,0
1005,20,47.0,16,3
1006,21,27.0,5,1
1007,9,22.0,10,2
1008,20,30.0,9,1
1009,11,36.0,15,2
1010,8,47.0,3,2
1011,10,57.0,7,3
1012,18,52.0,6,3
1013,16,51.0,13,3
1014,18,41.0,22,0
1015,9,26.0,14,2
1016,16,34.0,5,1
1017,17,35.0,4,1
1018,18,28.0,21,1
1019,12,36.0,26,0
1020,17,33.0,14,1
1021,20,34.0,17,1
1022,10,60.0,24,3
1023,17,59.0,32,0
1024,9,45.0,11,2
1025,11,39.0,6,2
1026,20,27.0,5,1
1027,20,34.0,22,1
1028,15,50.0,11,3
1029,10,49.0,5,3
1030,17,32.0,2,1
1031,17,51.0,5,3
1032,20,31.0,16,1
1033,17,46.0,11,3
1034,15,37.0,6,1
1035,9,34.0,5,2
1036,8,36.0,13,2
1037,12,36.0,14,2
1038,10,35.0,11,2
1039,16,31.0,8,1
1040,16,62.0,7,3
1041,19,35.0,4,1
1042,19,48.0,8,3
1043,12,56.0,12,3
1044,18,30.0,12,1
1045,6,52.0,5,3
1046,20,32.0,18,1
1047,7,52.0,19,3
1048,0,21.0,3,2
1049,6,24.0,14,2
1050,18,30.0,12,1
1051,19,31.0,10,1
1052,2,23.0,7,2
1053,11,33.0,25,0
1054,16,58.0,13,3
1055,20,33.0,4,1
1056,17,29.0,6,1
1057,12,39.0,17,2
1058,8,43.0,15,2
1059,8,68.0,7,3
1060,16,36.0,35,0
1061,10,31.0,14,2
1062,16,29.0,10,1
1063,17,28.0,5,1
1064,17,25.0,10,1
1065,12,36.0,11,2
1066,15,41.0,12,1
1067,13,28.0,6,2
1068,15,43.0,6,3
1069,12,45.0,7,3
1070,9,34.0,7,2
1071,23,36.0,13,1
1072,17,55.0,8,3
1073,19,36.0,30,0
1074,21,36.0,11,1
1075,8,43.0,5,2
1076,10,25.0,1,2
1077,2,34.0,13,2
1078,9,28.0,8,2
1079,18,38.0,18,1
1080,15,32.0,5,1
1081,15,39.0,9,1
1082,13,36.0,22,0
1083,11,65.0,16,3
1084,21,29.0,6,1
1085,23,23.0,21,1
1086,7,36.0,6,2
1087,2,28.0,2,2
1088,21,29.0,21,1
1089,21,27.0,11,1
1090,18,34.0,18,1
1091,22,35.0,31,0
1092,17,35.0,10,1
1093,14,41.0,4,1
1094,13,63.0,2,3
1095,16,36.0,9,1
1096,8,57.0,9,3
1097,19,48.0,6,3
1098,18,36.0,11,1
1099,22,37.0,11,1
1100,12,47.0,8,3
1101,19,32.0,4,1
1102,13,36.0,35,0
1103,17,36.0,12,1
1104,15,51.0,7,3
1105,21,49.0,9,3
1106,11,36.0,22,0
1107,23,34.0,8,1
1108,8,23.0,9,2
1109,15,36.0,12,1
1110,22,33.0,8,1
1111,14,57.0,4,3
1112,19,35.0,6,1
1113,20,36.0,9,1
1114,23,26.0,6,1
1115,20,29.0,1,1
1116,14,33.0,4,1
1117,18,36.0,19,1
1118,15,36.0,17,1
1119,6,58.0,26,3
1120,7,58.0,6,3
1121,15,49.0,5,3
1122,1,36.0,30,2
1123,7,33.0,4,2
1124,20,35.0,17,1
1125,7,33.0,4,2
1126,22,24.0,18,1
1127,20,32.0,17,1
1128,15,36.0,8,1
1129,19,25.0,6,1
1130,22,35.0,10,1
1131,16,45.0,12,3
1132,17,38.0,8,1
1133,16,29.0,24,0
1134,22,42.0,10,1
1135,19,27.0,26,0
1136,0,41.0,7,2
1137,16,36.0,12,1
1138,10,29.0,10,2
1139,14,38.0,10,1
1140,12,29.0,7,2
1141,9,42.0,17,2
1142,16,49.0,15,3
1143,19,33.0,5,1
1144,14,36.0,41,0
1145,9,41.0,7,2
1146,22,29.0,5,1
